#Nite           Exposure        Problem
20140716        337870          Fringing
20140716        337871          Fringing
20141024        371184          Ghosting
20141024        371185          Ghosting
20141024        371186          Ghosting
20141024        371189          Ghosting
20141024        371190          Ghosting
20141024        371191          Ghosting
20141207        385151          Fringing
20141207        385152          Fringing
20141207        385153          Fringing
20141207        385154          Fringing
20150312        421339          NObjects
20150312        421340          NObjects
20140506        311592          NObjects
20150602        445723          NObjects
20140811        347058          Wonky
20140813        347764          Wonky
20140813        347765          Wonky
20140813        347767          Clouds
20140813        347777          Clouds
20140813        347788          Wonky
20140813        347789          Wonky
20140813        347790          Wonky
20140813        347795          Clouds
20140811        347102          NObjects 
20140812        347432          NObjects 
20140812        347433          NObjects 
20140812        347434          NObjects 
20140812        347435          NObjects 
20140812        347436          NObjects 
20140812        347437          NObjects 
20140812        347452          NObjects 
20140812        347453          NObjects 
20140812        347454          NObjects 
20140812        347455          NObjects 
20140812        347483          NObjects 
20140812        347484          NObjects 
20140812        347485          NObjects 
20140812        347486          NObjects 
20140813        347793          NObjects 
20140813        347794          NObjects 
20141207        385057          NObjects 
20141207        385058          NObjects 
20141207        385059          NObjects 
20141207        385060          NObjects 
20141028        372523          NObjects
20140813        347792          NObjects
20140813        347796          NObjects
20140813        347798          NObjects
