#Nite           Exposure        Problem
20161030        588121          Blank
20161030        588125          Blank
20170329        635289          Arcturus
20161230        605732          NObjects
20170211        619644          NObjects
20170211        619645          NObjects
20170211        619647          NObjects
20170228        624606          NObjects
20170228        624671          NObjects
20170302        625432          Ghosting
20170306        626806          NObjects
20170328        634775          Ghosting
20170328        634945          Ghosting
20170329        635138          Ghosting
20170329        635272          NObjects
20170330        635545          Ghosting
20170421        642031          Ghosting
20170502        646625          Ghosting
20170603        653181          NObjects
20170720        660458          Ghosting
20170820        670009          Ghosting
20171006        684541          NObjects 
20171006        684543          NObjects 
20160813        563853          NObjects
20160927        578320          Canopus
20161222        603813          Canopus
20161222        603820          Canopus
20170126        613394          Canopus
20170126        613395          Canopus
20170218        622393          Canopus
20160927        578322          Canopus
20160811        563184          NObjects
20160814        564546          NObjects
20160910        573356          NObjects
20161010        582645          NObjects
20161109        591857          NObjects
20161110        592214          NObjects
20161110        592216          NObjects
20160813        563818          NObjects
20170726        662663          NObjects

