#date     expnum ccd id ccdnum
#select nite || ' ' || expnum || ' nan N15  46' as lightbulb from exposure 
# where expnum >= 694884 and expnum <= 695282 and obstype = 'object' order by expnum asc;
20171110 694885 nan N15  46
20171110 694886 nan N15  46
20171110 694887 nan N15  46
20171110 694888 nan N15  46
20171110 694889 nan N15  46
20171110 694890 nan N15  46
20171110 694891 nan N15  46
20171110 694892 nan N15  46
20171110 694893 nan N15  46
20171110 694894 nan N15  46
20171110 694895 nan N15  46
20171110 694896 nan N15  46
20171110 694897 nan N15  46
20171110 694898 nan N15  46
20171110 694899 nan N15  46
20171110 694900 nan N15  46
20171110 694901 nan N15  46
20171110 694902 nan N15  46
20171110 694903 nan N15  46
20171110 694904 nan N15  46
20171110 694905 nan N15  46
20171110 694906 nan N15  46
20171110 694907 nan N15  46
20171110 694908 nan N15  46
20171110 694909 nan N15  46
20171110 694910 nan N15  46
20171110 694911 nan N15  46
20171110 694912 nan N15  46
20171110 694913 nan N15  46
20171110 694914 nan N15  46
20171110 694915 nan N15  46
20171110 694916 nan N15  46
20171110 694917 nan N15  46
20171110 694918 nan N15  46
20171110 694919 nan N15  46
20171110 694920 nan N15  46
20171110 694921 nan N15  46
20171110 694922 nan N15  46
20171110 694923 nan N15  46
20171110 694924 nan N15  46
20171110 694925 nan N15  46
20171110 694926 nan N15  46
20171110 694927 nan N15  46
20171110 694928 nan N15  46
20171110 694929 nan N15  46
20171110 694930 nan N15  46
20171110 694931 nan N15  46
20171110 694932 nan N15  46
20171110 694933 nan N15  46
20171110 694934 nan N15  46
20171110 694935 nan N15  46
20171110 694936 nan N15  46
20171110 694937 nan N15  46
20171110 694938 nan N15  46
20171110 694939 nan N15  46
20171110 694940 nan N15  46
20171110 694941 nan N15  46
20171110 694942 nan N15  46
20171110 694943 nan N15  46
20171110 694944 nan N15  46
20171110 694945 nan N15  46
20171110 694946 nan N15  46
20171110 694947 nan N15  46
20171110 694948 nan N15  46
20171110 694949 nan N15  46
20171110 694950 nan N15  46
20171110 694951 nan N15  46
20171110 694952 nan N15  46
20171110 694953 nan N15  46
20171110 694954 nan N15  46
20171110 694955 nan N15  46
20171110 694956 nan N15  46
20171110 694957 nan N15  46
20171110 694958 nan N15  46
20171110 694959 nan N15  46
20171110 694960 nan N15  46
20171110 694961 nan N15  46
20171110 694962 nan N15  46
20171110 694963 nan N15  46
20171110 694964 nan N15  46
20171110 694965 nan N15  46
20171110 694966 nan N15  46
20171110 694967 nan N15  46
20171110 694968 nan N15  46
20171110 694969 nan N15  46
20171110 694970 nan N15  46
20171110 694971 nan N15  46
20171110 694972 nan N15  46
20171110 694973 nan N15  46
20171110 694974 nan N15  46
20171110 694975 nan N15  46
20171110 694976 nan N15  46
20171110 694977 nan N15  46
20171110 694978 nan N15  46
20171110 694979 nan N15  46
20171110 694980 nan N15  46
20171110 694981 nan N15  46
20171110 694982 nan N15  46
20171110 694983 nan N15  46
20171110 694984 nan N15  46
20171110 694985 nan N15  46
